/data/VOCdevkit/VOC2007/JPEGImages/IMG_1127_12.jpeg,164,16,313,172,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1127_12.jpeg,874,413,992,544,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1121_9.jpeg,40,357,263,523,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1121_9.jpeg,311,585,454,732,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1132_3.jpeg,627,406,772,544,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1132_3.jpeg,579,304,719,435,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1139_12.jpeg,437,429,648,668,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1139_12.jpeg,865,454,973,576,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1139_12.jpeg,783,553,902,682,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1139_12.jpeg,234,374,387,530,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1144_12.jpeg,1,215,115,317,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1144_12.jpeg,691,410,804,514,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1144_12.jpeg,325,166,431,287,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1144_12.jpeg,671,270,789,382,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,277,320,357,401,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,576,429,693,529,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,677,156,764,240,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,95,439,183,525,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,171,305,247,442,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,205,433,296,497,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,854,95,937,176,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1153_2.jpeg,586,114,675,217,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1130_1.jpeg,748,217,875,384,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1130_1.jpeg,875,268,985,394,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1130_1.jpeg,11,202,174,366,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,591,238,732,433,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,427,176,557,328,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,262,239,372,373,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,249,368,423,552,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,809,554,946,736,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,172,495,305,636,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,31,487,179,628,block
/data/VOCdevkit/VOC2007/JPEGImages/IMG_1140_8.jpeg,387,599,544,736,block
